[19-Jun-2020 16:15:09 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[23-Jun-2020 09:06:44 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[23-Jun-2020 10:51:12 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[15-Jul-2020 06:16:30 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[15-Jul-2020 10:26:22 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[15-Jul-2020 10:26:35 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[15-Jul-2020 10:28:12 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[15-Jul-2020 10:30:30 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[26-Nov-2020 16:08:30 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[25-Dec-2020 02:32:16 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[26-Dec-2020 06:09:58 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[06-Jan-2021 10:36:11 Europe/Berlin] PHP Notice:  Undefined property: stdClass::$bppbno_int in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 57
[06-Jan-2021 10:36:11 Europe/Berlin] PHP Notice:  Undefined property: stdClass::$idcosting in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 58
[18-Jan-2021 02:24:34 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[20-Jan-2021 08:48:00 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[09-Feb-2021 07:27:38 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[10-Feb-2021 03:04:26 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[10-Feb-2021 03:04:26 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[19-Feb-2021 02:28:19 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[04-Mar-2021 03:28:54 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[04-Mar-2021 03:47:03 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[04-Mar-2021 03:47:03 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[12-Mar-2021 04:37:21 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[16-Mar-2021 15:57:06 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\postPackInv.php on line 4
[17-Mar-2021 09:25:56 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 3
[17-Mar-2021 09:29:44 Europe/Berlin] PHP Notice:  Undefined variable: val_ex in C:\xampp\htdocs\erp\pages\shp\webservices\getListInvoiceDetail.php on line 225
[22-Mar-2021 10:54:30 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[22-Mar-2021 10:54:30 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[25-Mar-2021 02:43:07 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
[26-Mar-2021 08:14:41 Europe/Berlin] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in C:\xampp\htdocs\erp\pages\shp\webservices\SaveInvoiceActualDetail.php on line 3
