URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300166|MESIN NFS 6604GFMH-DD-60|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300165|INDUSTRIAL SEWING MACHINE, MERK H&H AI-127 (SEAM SEALING)|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300164|MESIN BROTHER KE430HS-03 SN.A8Z75286|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300163|MESIN HOT AIR SEAM SEALING MACHINE|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300162|MESIN JAHIT MAQI|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300159|MESIN JAHIT JARUM 1 ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300159|MESIN JAHIT JARUM 1 ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
IN|IN-43769-SOMDL|2019-10-31||2019-10-31|STOCK OPNAME|M.300159|MESIN JAHIT JARUM 1 ZJ.9000D-D4S/02/G/S|UNIT|1|0|0|M|||||0|0
