NIK|TANGGAL|JAM|STATUS
NAG.000058|2019-01-05|06:58:00|IN
NAG.000058|2019-01-05|12:33:00|OUT
NAG.000058|2019-01-07|08:00:00|IN
NAG.000058|2019-01-07|16:52:00|OUT
NAG.000058|2019-01-08|06:56:00|IN
NAG.000058|2019-01-08|17:42:00|OUT
NAG.000058|2019-01-09|07:03:00|IN
NAG.000058|2019-01-09|17:19:00|OUT
NAG.000058|2019-01-10|07:04:00|IN
NAG.000058|2019-01-10|17:11:00|OUT
NAG.000058|2019-01-11|06:45:00|IN
NAG.000058|2019-01-11|19:59:00|OUT
NAG.000058|2019-01-12|06:59:00|IN
NAG.000058|2019-01-12|12:36:00|OUT
NAG.000058|2019-01-14|07:06:00|IN
NAG.000058|2019-01-14|20:01:00|OUT
NAG.000058|2019-01-16|07:00:00|IN
NAG.000058|2019-01-16|17:57:00|OUT
NAG.000058|2019-01-17|07:02:00|IN
NAG.000058|2019-01-17|20:56:00|OUT
NAG.000058|2019-01-18|06:57:00|IN
NAG.000058|2019-01-18|20:55:00|OUT
NAG.000058|2019-01-19|07:02:00|IN
NAG.000058|2019-01-19|12:40:00|OUT
NAG.000058|2019-01-21|06:59:00|IN
NAG.000058|2019-01-21|19:57:00|OUT
NAG.000058|2019-01-22|06:58:00|IN
NAG.000058|2019-01-22|20:07:00|OUT
NAG.000058|2019-01-23|07:08:00|IN
NAG.000058|2019-01-23|20:07:00|OUT
NAG.000058|2019-01-24|07:06:00|IN
NAG.000058|2019-01-24|20:04:00|OUT
NAG.000058|2019-01-25|06:53:00|IN
NAG.000058|2019-01-25|06:53:00|IN
NAG.001289|2018-12-26|06:51:00|IN
NAG.001289|2018-12-26|17:24:00|OUT
NAG.001289|2018-12-27|06:41:00|IN
NAG.001289|2018-12-27|17:09:00|OUT
NAG.001289|2018-12-28|06:40:00|IN
NAG.001289|2018-12-28|17:32:00|OUT
NAG.001289|2018-12-29|06:38:00|IN
NAG.001289|2018-12-29|13:16:00|OUT
NAG.001289|2018-12-29|13:16:00|OUT
NAG.001289|2019-01-02|05:59:00|IN
NAG.001289|2019-01-02|15:46:00|OUT
NAG.001289|2019-01-03|05:49:00|IN
NAG.001289|2019-01-03|17:15:00|OUT
NAG.001289|2019-01-04|06:51:00|IN
NAG.001289|2019-01-04|17:12:00|OUT
NAG.001289|2019-01-05|06:55:00|IN
NAG.001289|2019-01-05|12:43:00|OUT
NAG.001289|2019-01-07|07:10:00|IN
NAG.001289|2019-01-07|08:10:00|IN
NAG.001289|2019-01-07|08:10:00|IN
NAG.001289|2019-01-07|16:57:00|OUT
NAG.001289|2019-01-08|07:14:00|IN
NAG.001289|2019-01-08|17:41:00|OUT
NAG.001289|2019-01-09|07:10:00|IN
NAG.001289|2019-01-09|17:19:00|OUT
NAG.001289|2019-01-10|07:18:00|IN
NAG.001289|2019-01-10|20:00:00|OUT
NAG.001289|2019-01-11|06:53:00|IN
NAG.001289|2019-01-11|19:59:00|OUT
NAG.001289|2019-01-11|19:59:00|OUT
NAG.001289|2019-01-11|20:01:00|OUT
