NIK|TANGGAL|JAM|STATUS
NAG.001915|2018-12-26|06:36:00|IN
NAG.001915|2018-12-26|17:24:00|OUT
NAG.001915|2018-12-27|06:39:00|IN
NAG.001915|2018-12-27|17:24:00|OUT
NAG.001915|2018-12-28|06:40:00|IN
NAG.001915|2018-12-28|17:28:00|OUT
NAG.001915|2018-12-29|06:32:00|IN
NAG.001915|2018-12-29|13:06:00|OUT
NAG.001915|2019-01-02|06:39:00|IN
NAG.001915|2019-01-02|16:26:00|OUT
NAG.001915|2019-01-03|06:34:00|IN
NAG.001915|2019-01-03|22:33:00|OUT
NAG.001915|2019-01-04|06:34:00|IN
NAG.001915|2019-01-04|16:14:00|OUT
NAG.001915|2019-01-05|06:33:00|IN
NAG.001915|2019-01-05|12:31:00|OUT
NAG.001915|2019-01-07|06:41:00|IN
NAG.001915|2019-01-07|16:24:00|OUT
NAG.001915|2019-01-08|06:39:00|IN
NAG.001915|2019-01-08|16:00:00|OUT
NAG.001915|2019-01-09|06:36:00|IN
NAG.001915|2019-01-09|16:20:00|OUT
NAG.001915|2019-01-10|06:42:00|IN
NAG.001915|2019-01-10|16:50:00|OUT
NAG.001915|2019-01-11|06:41:00|IN
NAG.001915|2019-01-11|16:53:00|OUT
NAG.001915|2019-01-12|06:41:00|IN
NAG.001915|2019-01-12|12:29:00|OUT
NAG.001915|2019-01-14|06:45:00|IN
NAG.001915|2019-01-14|19:58:00|OUT
NAG.001915|2019-01-15|06:37:00|IN
NAG.001915|2019-01-15|16:43:00|OUT
NAG.001915|2019-01-16|06:38:00|IN
NAG.001915|2019-01-16|17:03:00|OUT
NAG.001915|2019-01-17|06:33:00|IN
NAG.001915|2019-01-17|17:25:00|OUT
NAG.001915|2019-01-18|06:41:00|IN
NAG.001915|2019-01-18|20:55:00|OUT
NAG.001915|2019-01-19|06:38:00|IN
NAG.001915|2019-01-19|16:12:00|OUT
NAG.001915|2019-01-21|06:46:00|IN
NAG.001915|2019-01-21|17:04:00|OUT
NAG.001915|2019-01-22|06:44:00|IN
NAG.001915|2019-01-22|16:30:00|OUT
NAG.001915|2019-01-23|06:47:00|IN
NAG.001915|2019-01-23|16:47:00|OUT
NAG.001915|2019-01-24|06:47:00|IN
NAG.001915|2019-01-24|16:39:00|OUT
NAG.001915|2019-01-25|06:46:00|IN
NAG.001919|2018-12-26|06:28:00|IN
NAG.001919|2018-12-26|17:25:00|OUT
NAG.001919|2018-12-27|06:27:00|IN
NAG.001919|2018-12-27|17:25:00|OUT
NAG.001919|2018-12-28|06:22:00|IN
NAG.001919|2018-12-28|17:30:00|OUT
NAG.001919|2018-12-29|06:25:00|IN
NAG.001919|2018-12-29|13:08:00|OUT
NAG.001919|2019-01-02|06:24:00|IN
NAG.001919|2019-01-02|16:27:00|OUT
NAG.001919|2019-01-03|06:12:00|IN
NAG.001919|2019-01-03|16:31:00|OUT
NAG.001919|2019-01-04|06:17:00|IN
NAG.001919|2019-01-04|16:15:00|OUT
NAG.001919|2019-01-05|06:20:00|IN
NAG.001919|2019-01-05|12:31:00|OUT
NAG.001919|2019-01-07|06:19:00|IN
NAG.001919|2019-01-07|16:25:00|OUT
NAG.001919|2019-01-08|06:20:00|IN
NAG.001919|2019-01-08|16:01:00|OUT
NAG.001919|2019-01-09|06:18:00|IN
NAG.001919|2019-01-09|16:20:00|OUT
NAG.001919|2019-01-10|06:24:00|OUT
NAG.001919|2019-01-10|16:53:00|OUT
NAG.001919|2019-01-11|06:23:00|OUT
NAG.001919|2019-01-11|16:56:00|OUT
NAG.001919|2019-01-12|06:19:00|OUT
NAG.001919|2019-01-12|12:29:00|OUT
NAG.001919|2019-01-14|06:21:00|IN
NAG.001919|2019-01-14|20:01:00|OUT
NAG.001919|2019-01-15|06:23:00|IN
NAG.001919|2019-01-15|16:43:00|OUT
NAG.001919|2019-01-16|06:30:00|IN
NAG.001919|2019-01-16|17:06:00|OUT
NAG.001919|2019-01-17|06:21:00|IN
NAG.001919|2019-01-17|17:28:00|OUT
NAG.001919|2019-01-18|06:23:00|IN
NAG.001919|2019-01-18|20:54:00|OUT
NAG.001919|2019-01-19|06:20:00|IN
NAG.001919|2019-01-19|16:12:00|OUT
NAG.001919|2019-01-21|06:27:00|IN
NAG.001919|2019-01-21|17:07:00|OUT
NAG.001919|2019-01-22|06:26:00|IN
NAG.001919|2019-01-22|16:32:00|OUT
NAG.001919|2019-01-23|06:24:00|IN
NAG.001919|2019-01-23|16:47:00|OUT
NAG.001919|2019-01-24|06:20:00|IN
NAG.001919|2019-01-24|16:40:00|OUT
NAG.001921|2018-12-26|06:49:00|IN
NAG.001921|2018-12-26|06:49:00|IN
NAG.001921|2018-12-26|17:25:00|OUT
NAG.001921|2018-12-27|06:26:00|IN
NAG.001921|2018-12-27|06:26:00|IN
NAG.001921|2018-12-27|17:25:00|OUT
NAG.001921|2018-12-28|06:31:00|IN
NAG.001921|2018-12-28|17:28:00|OUT
NAG.001921|2018-12-29|06:39:00|IN
NAG.001921|2018-12-29|06:40:00|IN
NAG.001921|2018-12-29|13:06:00|OUT
NAG.001958|2018-12-26|07:04:00|IN
NAG.001958|2018-12-26|17:25:00|OUT
NAG.001958|2018-12-27|06:55:00|IN
NAG.001958|2018-12-27|17:25:00|OUT
NAG.001958|2018-12-28|06:52:00|IN
NAG.001958|2018-12-28|15:36:00|OUT
NAG.001958|2018-12-29|06:48:00|IN
NAG.001958|2018-12-29|13:08:00|OUT
NAG.001958|2019-01-02|06:52:00|IN
NAG.001958|2019-01-02|16:27:00|OUT
NAG.001958|2019-01-03|06:57:00|IN
NAG.001958|2019-01-03|06:58:00|IN
NAG.001958|2019-01-03|16:32:00|OUT
NAG.001958|2019-01-04|06:50:00|IN
NAG.001958|2019-01-04|16:15:00|OUT
NAG.001958|2019-01-05|06:53:00|IN
NAG.001958|2019-01-05|06:53:00|IN
NAG.001958|2019-01-05|12:32:00|OUT
NAG.001958|2019-01-07|06:59:00|IN
NAG.001958|2019-01-07|16:25:00|OUT
NAG.001958|2019-01-08|07:00:00|IN
NAG.001958|2019-01-08|16:00:00|OUT
NAG.001958|2019-01-09|06:57:00|IN
NAG.001958|2019-01-09|16:20:00|OUT
NAG.001958|2019-01-10|06:57:00|IN
NAG.001958|2019-01-10|16:50:00|OUT
NAG.001958|2019-01-11|06:52:00|IN
