NIK|TANGGAL|JAM|STATUS
NAG.000647|2019-01-28|06:41:00|IN
NAG.000647|2019-01-28|17:12:00|OUT
NAG.000647|2019-01-29|06:41:00|IN
NAG.000647|2019-01-29|20:06:00|OUT
NAG.000647|2019-01-30|06:38:00|IN
NAG.000647|2019-01-30|20:06:00|OUT
NAG.000647|2019-01-31|06:37:00|IN
NAG.000647|2019-01-31|20:03:00|OUT
NAG.000647|2019-02-01|06:32:00|IN
NAG.000648|2019-01-26|06:46:00|IN
NAG.000648|2019-01-26|12:34:00|OUT
NAG.000648|2019-01-28|06:44:00|IN
NAG.000648|2019-01-28|20:01:00|OUT
NAG.000648|2019-01-29|06:47:00|IN
NAG.000648|2019-01-29|20:01:00|OUT
NAG.000648|2019-01-30|06:49:00|IN
NAG.000648|2019-01-30|19:59:00|OUT
NAG.000648|2019-01-31|06:47:00|IN
NAG.000648|2019-01-31|20:00:00|OUT
NAG.000648|2019-02-01|06:46:00|IN
NAG.000650|2019-01-26|06:26:00|IN
NAG.000650|2019-01-26|12:31:00|OUT
NAG.000650|2019-01-28|06:26:00|IN
NAG.000650|2019-01-28|20:00:00|OUT
NAG.000650|2019-01-29|06:22:00|IN
NAG.000650|2019-01-29|20:01:00|OUT
NAG.000650|2019-01-30|06:20:00|IN
NAG.000650|2019-01-30|19:58:00|OUT
NAG.000650|2019-01-31|06:21:00|IN
NAG.000650|2019-01-31|19:59:00|OUT
NAG.000650|2019-02-01|06:25:00|IN
NAG.000653|2019-01-26|06:57:00|IN
NAG.000653|2019-01-26|12:35:00|OUT
NAG.000653|2019-01-28|06:59:00|IN
NAG.000653|2019-01-28|19:59:00|OUT
NAG.000653|2019-01-29|06:54:00|IN
NAG.000653|2019-01-29|20:01:00|OUT
NAG.000653|2019-01-30|06:54:00|IN
NAG.000653|2019-01-30|17:20:00|OUT
NAG.000653|2019-01-31|06:42:00|IN
NAG.000653|2019-01-31|17:11:00|OUT
NAG.000653|2019-01-31|17:11:00|OUT
NAG.000653|2019-02-01|06:41:00|IN
NAG.000654|2019-01-26|07:04:00|IN
NAG.000654|2019-01-26|12:32:00|OUT
NAG.000654|2019-01-28|07:13:00|IN
NAG.000654|2019-01-28|20:00:00|OUT
NAG.000654|2019-01-29|07:02:00|IN
NAG.000654|2019-01-29|19:59:00|OUT
NAG.000654|2019-01-30|07:04:00|IN
NAG.000654|2019-01-30|17:21:00|OUT
NAG.000654|2019-01-31|07:08:00|IN
NAG.000654|2019-01-31|20:00:00|OUT
NAG.000654|2019-02-01|06:54:00|IN
NAG.000655|2019-01-26|07:03:00|IN
NAG.000655|2019-01-26|12:43:00|OUT
NAG.000655|2019-01-28|07:16:00|IN
NAG.000655|2019-01-28|20:02:00|OUT
NAG.000655|2019-01-29|07:00:00|IN
NAG.000655|2019-01-29|20:06:00|OUT
NAG.000655|2019-01-30|07:06:00|IN
NAG.000655|2019-01-30|20:06:00|OUT
NAG.000655|2019-01-31|07:11:00|IN
NAG.000655|2019-01-31|20:05:00|OUT
NAG.000655|2019-02-01|06:52:00|IN
NAG.000656|2019-01-26|06:34:00|IN
NAG.000656|2019-01-26|12:22:00|OUT
NAG.000656|2019-01-28|06:44:00|IN
NAG.000656|2019-01-28|15:51:00|OUT
NAG.000656|2019-01-29|06:44:00|IN
NAG.000656|2019-01-29|15:57:00|OUT
NAG.000656|2019-01-30|06:45:00|IN
NAG.000656|2019-01-30|15:56:00|OUT
NAG.000656|2019-01-31|06:47:00|IN
NAG.000656|2019-01-31|15:52:00|OUT
NAG.000656|2019-02-01|06:39:00|IN
NAG.000659|2019-01-26|06:26:00|IN
NAG.000659|2019-01-26|12:33:00|OUT
NAG.000659|2019-01-28|06:36:00|IN
NAG.000659|2019-01-28|17:10:00|OUT
NAG.000659|2019-01-29|06:33:00|IN
NAG.000659|2019-01-29|20:01:00|OUT
NAG.000659|2019-01-30|06:28:00|IN
NAG.000659|2019-01-30|17:07:00|OUT
NAG.000659|2019-01-31|06:32:00|IN
NAG.000659|2019-01-31|17:12:00|OUT
NAG.000659|2019-02-01|06:51:00|IN
NAG.000661|2019-01-26|06:50:00|IN
NAG.000661|2019-01-26|12:35:00|OUT
NAG.000661|2019-01-28|06:52:00|IN
NAG.000661|2019-01-28|20:02:00|OUT
NAG.000661|2019-01-29|06:47:00|IN
NAG.000661|2019-01-29|20:01:00|OUT
NAG.000661|2019-01-31|06:47:00|IN
NAG.000661|2019-01-31|17:11:00|OUT
NAG.000661|2019-02-01|06:45:00|IN
NAG.000663|2019-01-26|06:54:00|IN
NAG.000663|2019-01-26|12:34:00|OUT
NAG.000663|2019-01-28|06:59:00|IN
NAG.000663|2019-01-28|20:02:00|OUT
NAG.000663|2019-01-29|06:41:00|IN
NAG.000663|2019-01-29|20:01:00|OUT
NAG.000663|2019-01-30|06:55:00|IN
NAG.000663|2019-01-30|20:03:00|OUT
NAG.000663|2019-01-31|06:56:00|IN
NAG.000663|2019-01-31|17:12:00|OUT
NAG.000663|2019-02-01|06:50:00|IN
NAG.000666|2019-01-26|07:04:00|IN
NAG.000666|2019-01-26|12:48:00|OUT
NAG.000666|2019-01-28|07:13:00|IN
NAG.000666|2019-01-28|17:15:00|OUT
NAG.000666|2019-01-29|06:56:00|IN
NAG.000666|2019-01-29|20:00:00|OUT
NAG.000666|2019-01-29|20:00:00|OUT
NAG.000666|2019-01-30|07:03:00|IN
NAG.000666|2019-01-30|17:22:00|OUT
NAG.000666|2019-01-31|07:07:00|IN
NAG.000666|2019-01-31|20:00:00|OUT
NAG.000666|2019-02-01|06:56:00|IN
NAG.000781|2019-01-26|07:03:00|IN
NAG.000781|2019-01-26|12:44:00|OUT
NAG.000781|2019-01-28|07:08:00|IN
NAG.000781|2019-01-28|07:08:00|IN
NAG.000781|2019-01-28|20:00:00|OUT
NAG.000781|2019-01-28|20:00:00|OUT
NAG.000781|2019-01-29|06:58:00|IN
NAG.000781|2019-01-29|20:00:00|OUT
NAG.000781|2019-01-30|07:00:00|IN
NAG.000781|2019-01-30|19:58:00|OUT
NAG.000781|2019-01-31|07:07:00|IN
NAG.000781|2019-01-31|07:07:00|IN
NAG.000781|2019-01-31|20:00:00|OUT
NAG.000781|2019-02-01|06:54:00|IN
NAG.001104|2019-01-26|07:05:00|IN
NAG.001104|2019-01-26|12:41:00|OUT
NAG.001104|2019-01-28|07:09:00|IN
NAG.001104|2019-01-28|20:01:00|OUT
NAG.001104|2019-01-29|07:05:00|IN
NAG.001104|2019-01-29|16:09:00|OUT
NAG.001104|2019-01-30|07:05:00|IN
NAG.001104|2019-01-30|17:21:00|OUT
