NIK|TANGGAL|JAM|STATUS
NAG.001727|2019-01-12|15:05:00|OUT
NAG.001727|2019-01-14|07:12:00|IN
NAG.001727|2019-01-14|20:05:00|OUT
NAG.001727|2019-01-15|07:08:00|IN
NAG.001727|2019-01-15|20:05:00|OUT
NAG.001727|2019-01-16|07:09:00|IN
NAG.001727|2019-01-16|20:10:00|OUT
NAG.001727|2019-01-17|07:10:00|IN
NAG.001727|2019-01-17|18:04:00|OUT
NAG.001727|2019-01-18|06:58:00|IN
NAG.001727|2019-01-18|18:00:00|OUT
NAG.001727|2019-01-19|07:11:00|IN
NAG.001727|2019-01-19|12:53:00|OUT
NAG.001727|2019-01-21|07:14:00|IN
NAG.001727|2019-01-21|17:59:00|IN
NAG.001727|2019-01-22|07:11:00|IN
NAG.001727|2019-01-22|17:57:00|OUT
NAG.001727|2019-01-23|07:10:00|IN
NAG.001727|2019-01-23|18:04:00|OUT
NAG.001727|2019-01-24|07:11:00|IN
NAG.001727|2019-01-24|20:03:00|OUT
NAG.001727|2019-01-25|06:59:00|IN
NAG.001896|2018-12-26|07:09:00|IN
NAG.001896|2018-12-26|20:09:00|OUT
NAG.001896|2018-12-27|07:08:00|IN
NAG.001896|2018-12-27|17:45:00|OUT
NAG.001896|2018-12-28|06:55:00|IN
NAG.001896|2018-12-28|17:57:00|OUT
NAG.001896|2018-12-29|07:07:00|IN
NAG.001896|2018-12-29|13:02:00|IN
NAG.001896|2019-01-02|07:11:00|IN
NAG.001896|2019-01-02|17:59:00|OUT
NAG.001896|2019-01-03|07:04:00|IN
NAG.001896|2019-01-03|20:13:00|OUT
NAG.001896|2019-01-04|06:56:00|IN
NAG.001896|2019-01-04|20:05:00|OUT
NAG.001896|2019-01-05|07:09:00|IN
NAG.001896|2019-01-05|15:05:00|OUT
NAG.001896|2019-01-07|07:14:00|IN
NAG.001896|2019-01-07|17:59:00|OUT
NAG.001896|2019-01-08|07:10:00|IN
NAG.001896|2019-01-08|22:00:00|OUT
NAG.001896|2019-01-09|07:10:00|IN
NAG.001896|2019-01-10|00:00:00|OUT
NAG.001896|2019-01-10|07:14:00|IN
NAG.001896|2019-01-10|16:54:00|OUT
NAG.001896|2019-01-11|07:00:00|IN
NAG.001896|2019-01-11|20:07:00|OUT
NAG.001896|2019-01-12|07:10:00|IN
NAG.001896|2019-01-12|15:03:00|OUT
NAG.001896|2019-01-14|07:11:00|IN
NAG.001896|2019-01-14|20:02:00|OUT
NAG.001896|2019-01-15|07:10:00|IN
NAG.001896|2019-01-15|20:02:00|OUT
NAG.001896|2019-01-16|07:09:00|IN
NAG.001896|2019-01-16|20:00:00|OUT
NAG.001896|2019-01-17|07:07:00|IN
NAG.001896|2019-01-17|17:58:00|OUT
NAG.001896|2019-01-18|06:57:00|IN
NAG.001896|2019-01-18|17:59:00|OUT
NAG.001896|2019-01-19|07:10:00|IN
NAG.001896|2019-01-19|12:34:00|OUT
NAG.001896|2019-01-21|07:09:00|IN
NAG.001896|2019-01-21|17:57:00|IN
NAG.001896|2019-01-22|07:10:00|IN
NAG.001896|2019-01-22|17:57:00|OUT
NAG.001896|2019-01-23|07:09:00|IN
NAG.001896|2019-01-23|18:00:00|OUT
NAG.001896|2019-01-24|07:10:00|IN
NAG.001896|2019-01-24|18:01:00|OUT
NAG.001896|2019-01-25|06:59:00|IN
NAG.001897|2018-12-26|07:09:00|IN
NAG.001897|2018-12-26|20:08:00|OUT
NAG.001897|2018-12-27|07:08:00|IN
NAG.001897|2018-12-27|17:45:00|OUT
NAG.001897|2018-12-28|06:54:00|IN
NAG.001897|2018-12-28|18:01:00|OUT
NAG.001897|2018-12-29|07:07:00|IN
NAG.001897|2018-12-29|13:03:00|IN
NAG.001897|2019-01-02|07:10:00|IN
NAG.001897|2019-01-02|15:53:00|OUT
