NIK|TANGGAL|JAM|STATUS
NAG.001336|2019-01-26|07:15:00|IN
NAG.001336|2019-01-26|12:38:00|IN
NAG.001336|2019-01-28|07:21:00|IN
NAG.001336|2019-01-28|20:00:00|OUT
NAG.001336|2019-01-29|07:15:00|IN
NAG.001336|2019-01-30|07:22:00|IN
NAG.001336|2019-01-30|16:37:00|OUT
NAG.001336|2019-01-31|07:22:00|IN
NAG.001336|2019-01-31|17:03:00|OUT
NAG.001336|2019-02-01|06:56:00|IN
NAG.001375|2019-01-26|07:23:00|IN
NAG.001375|2019-01-26|14:32:00|OUT
NAG.001375|2019-01-28|20:39:00|OUT
NAG.001375|2019-01-29|07:14:00|IN
NAG.001375|2019-01-29|20:41:00|OUT
NAG.001375|2019-01-30|07:20:00|IN
NAG.001375|2019-01-30|20:51:00|OUT
NAG.001375|2019-01-31|07:19:00|IN
NAG.001375|2019-01-31|20:42:00|OUT
NAG.001375|2019-02-01|07:01:00|IN
NAG.001376|2019-01-26|07:54:00|IN
NAG.001376|2019-01-26|13:03:00|OUT
NAG.001376|2019-01-28|07:50:00|IN
NAG.001376|2019-01-28|18:18:00|OUT
NAG.001376|2019-01-29|07:47:00|IN
NAG.001376|2019-01-29|18:54:00|OUT
NAG.001376|2019-01-30|07:48:00|IN
NAG.001376|2019-01-30|17:39:00|OUT
NAG.001376|2019-01-31|07:49:00|IN
NAG.001376|2019-01-31|20:42:00|OUT
NAG.001376|2019-02-01|07:49:00|IN
NAG.001435|2019-01-26|07:56:00|IN
NAG.001435|2019-01-26|18:48:00|OUT
NAG.001435|2019-01-28|07:34:00|IN
NAG.001435|2019-01-28|17:18:00|OUT
NAG.001435|2019-01-29|07:30:00|IN
NAG.001435|2019-01-30|07:23:00|IN
NAG.001435|2019-01-30|19:43:00|OUT
NAG.001435|2019-01-31|07:44:00|IN
NAG.001435|2019-01-31|19:47:00|OUT
NAG.001435|2019-02-01|07:46:00|IN
NAG.001436|2019-01-26|07:44:00|IN
NAG.001436|2019-01-26|13:25:00|OUT
NAG.001436|2019-01-28|07:33:00|IN
NAG.001436|2019-01-28|18:43:00|OUT
NAG.001436|2019-01-29|07:41:00|IN
NAG.001436|2019-01-29|19:06:00|OUT
NAG.001436|2019-01-30|07:44:00|IN
NAG.001436|2019-01-30|17:31:00|OUT
NAG.001436|2019-01-31|07:34:00|IN
NAG.001436|2019-01-31|17:42:00|OUT
NAG.001436|2019-02-01|07:36:00|IN
NAG.001529|2019-01-26|07:31:00|IN
NAG.001529|2019-01-26|13:09:00|OUT
NAG.001529|2019-01-28|07:30:00|IN
NAG.001529|2019-01-28|19:00:00|OUT
NAG.001529|2019-01-29|07:31:00|IN
NAG.001529|2019-01-29|20:03:00|OUT
NAG.001529|2019-01-30|07:29:00|IN
NAG.001529|2019-01-30|20:59:00|OUT
NAG.001529|2019-01-31|07:50:00|IN
NAG.001529|2019-01-31|17:41:00|OUT
NAG.001529|2019-02-01|07:09:00|IN
NAG.001566|2019-01-26|08:00:00|IN
NAG.001566|2019-01-26|09:04:00|IN
NAG.001566|2019-01-26|12:58:00|OUT
NAG.001566|2019-01-28|07:19:00|IN
NAG.001566|2019-01-29|07:21:00|IN
NAG.001566|2019-01-29|19:33:00|OUT
NAG.001566|2019-01-30|07:26:00|IN
NAG.001566|2019-01-30|18:56:00|OUT
NAG.001566|2019-01-31|07:21:00|IN
NAG.001566|2019-01-31|19:23:00|OUT
NAG.001566|2019-02-01|07:21:00|IN
NAG.001582|2019-01-26|06:30:00|OUT
NAG.001582|2019-01-26|13:20:00|OUT
NAG.001582|2019-01-28|06:40:00|IN
NAG.001582|2019-01-28|20:01:00|OUT
NAG.001582|2019-01-29|06:39:00|IN
NAG.001582|2019-01-29|20:00:00|OUT
NAG.001582|2019-01-30|06:43:00|IN
NAG.001582|2019-01-30|20:01:00|OUT
NAG.001582|2019-01-31|06:41:00|IN
NAG.001582|2019-01-31|20:01:00|OUT
NAG.001582|2019-02-01|06:37:00|IN
NAG.001628|2019-01-26|07:15:00|IN
NAG.001628|2019-01-26|12:36:00|IN
NAG.001628|2019-01-28|07:21:00|IN
NAG.001628|2019-01-28|07:21:00|IN
NAG.001628|2019-01-28|17:30:00|OUT
NAG.001628|2019-01-29|07:15:00|IN
NAG.001628|2019-01-29|19:59:00|OUT
NAG.001628|2019-01-30|07:22:00|IN
NAG.001628|2019-01-30|17:32:00|OUT
NAG.001628|2019-01-31|07:22:00|IN
NAG.001628|2019-01-31|17:31:00|OUT
NAG.001628|2019-02-01|07:27:00|IN
NAG.001941|2019-01-26|07:53:00|IN
NAG.001941|2019-01-26|12:42:00|OUT
NAG.001941|2019-01-28|07:42:00|IN
NAG.001941|2019-01-28|17:27:00|OUT
NAG.001941|2019-01-29|07:45:00|IN
NAG.001941|2019-01-29|07:45:00|IN
NAG.001941|2019-01-29|17:01:00|IN
NAG.001941|2019-01-30|07:51:00|IN
NAG.001941|2019-01-30|17:17:00|OUT
NAG.001941|2019-01-31|07:49:00|IN
NAG.001941|2019-01-31|17:29:00|OUT
NAG.001941|2019-02-01|07:44:00|IN
NAG.001987|2019-01-26|07:40:00|IN
NAG.001987|2019-01-26|14:32:00|OUT
NAG.001987|2019-01-28|07:29:00|IN
NAG.001987|2019-01-28|20:42:00|OUT
NAG.001987|2019-01-29|07:27:00|IN
NAG.001987|2019-01-29|20:41:00|OUT
NAG.001987|2019-01-30|07:33:00|IN
NAG.001987|2019-01-30|20:58:00|OUT
NAG.001987|2019-01-31|07:31:00|IN
NAG.001987|2019-01-31|20:44:00|OUT
NAG.001987|2019-02-01|07:27:00|IN
NAG.002003|2019-01-26|06:52:00|IN
NAG.002003|2019-01-26|13:06:00|OUT
NAG.002003|2019-01-28|06:55:00|IN
NAG.002003|2019-01-28|17:20:00|OUT
NAG.002003|2019-01-29|06:39:00|IN
