NIK|TANGGAL|JAM|STATUS
NAG.001847|2018-12-15|10:27:00|OUT
NAG.001847|2018-12-15|12:26:00|IN
NAG.001847|2018-12-17|06:48:00|IN
NAG.001952|2018-11-26|06:39:00|IN
NAG.001952|2018-11-26|16:22:00|OUT
NAG.001952|2018-11-27|06:32:00|IN
NAG.001952|2018-11-27|17:31:00|OUT
NAG.001952|2018-11-28|06:37:00|IN
NAG.001952|2018-11-28|17:29:00|OUT
NAG.001952|2018-11-29|06:27:00|IN
NAG.001952|2018-11-29|15:54:00|OUT
NAG.001952|2018-11-30|06:35:00|IN
NAG.001952|2018-11-30|16:58:00|OUT
NAG.001952|2018-12-01|06:34:00|IN
NAG.001952|2018-12-01|16:52:00|OUT
NAG.001952|2018-12-03|06:41:00|IN
NAG.001952|2018-12-03|16:06:00|OUT
NAG.001952|2018-12-04|06:37:00|IN
NAG.001952|2018-12-04|17:28:00|OUT
NAG.001952|2018-12-05|06:40:00|IN
NAG.001952|2018-12-05|15:42:00|OUT
NAG.001952|2018-12-06|06:34:00|IN
NAG.001952|2018-12-06|15:36:00|OUT
NAG.001952|2018-12-07|06:32:00|IN
NAG.001952|2018-12-07|15:36:00|OUT
NAG.001952|2018-12-08|06:43:00|IN
NAG.001952|2018-12-08|16:24:00|OUT
NAG.001952|2018-12-10|06:46:00|IN
NAG.001952|2018-12-10|16:12:00|OUT
NAG.001952|2018-12-11|06:35:00|IN
NAG.001952|2018-12-11|16:00:00|OUT
NAG.001952|2018-12-12|06:45:00|IN
NAG.001952|2018-12-12|16:07:00|OUT
NAG.001952|2018-12-13|06:52:00|IN
NAG.001952|2018-12-13|16:48:00|OUT
NAG.001952|2018-12-14|06:44:00|IN
NAG.001952|2018-12-14|16:25:00|OUT
NAG.001952|2018-12-15|06:48:00|IN
NAG.001952|2018-12-15|15:35:00|OUT
NAG.001952|2018-12-17|06:33:00|IN
NAG.001952|2018-12-17|15:40:00|OUT
NAG.001952|2018-12-18|06:38:00|IN
NAG.001952|2018-12-18|15:39:00|OUT
NAG.001952|2018-12-19|06:40:00|IN
NAG.001952|2018-12-19|15:56:00|OUT
NAG.001952|2018-12-20|06:37:00|IN
NAG.001952|2018-12-20|17:09:00|OUT
NAG.001952|2018-12-21|06:41:00|IN
NAG.001952|2018-12-21|16:58:00|OUT
NAG.001952|2018-12-22|06:45:00|IN
NAG.001952|2018-12-22|12:38:00|OUT
NAG.001952|2018-12-24|06:33:00|IN
NAG.001952|2018-12-24|16:01:00|OUT
NAG.001952|2018-12-25|06:39:00|IN
NAG.001952|2018-12-25|15:38:00|OUT
NAG.002017|2018-11-26|06:47:00|IN
NAG.002017|2018-11-26|17:30:00|OUT
NAG.002017|2018-11-27|06:56:00|IN
NAG.002017|2018-11-27|17:29:00|OUT
NAG.002017|2018-11-28|06:38:00|IN
NAG.002017|2018-11-28|16:49:00|OUT
NAG.002017|2018-11-29|06:33:00|IN
