NIK|TANGGAL|JAM|STATUS
NAG.001135|2019-01-08|07:09:00|IN
NAG.001135|2019-01-08|16:34:00|OUT
NAG.001219|2019-01-08|07:07:00|IN
NAG.001219|2019-01-08|15:57:00|OUT
NAG.001309|2019-01-08|06:55:00|IN
NAG.001309|2019-01-08|16:28:00|OUT
NAG.001319|2019-01-08|07:01:00|IN
NAG.001319|2019-01-08|16:26:00|OUT
NAG.001433|2019-01-08|07:08:00|IN
NAG.001433|2019-01-08|16:58:00|OUT
NAG.001509|2019-01-08|07:11:00|IN
NAG.001509|2019-01-08|20:01:00|OUT
NAG.001576|2019-01-08|06:47:00|IN
NAG.001576|2019-01-08|16:55:00|OUT
NAG.001614|2019-01-08|06:35:00|IN
NAG.001614|2019-01-08|19:56:00|OUT
NAG.001700|2019-01-08|07:03:00|IN
NAG.001700|2019-01-08|16:31:00|OUT
NAG.001764|2019-01-08|06:57:00|IN
NAG.001764|2019-01-08|17:38:00|OUT
NAG.001778|2019-01-08|06:46:00|IN
NAG.001778|2019-01-08|17:32:00|OUT
NAG.001808|2019-01-08|06:51:00|IN
NAG.001808|2019-01-08|16:36:00|OUT
NAG.001895|2019-01-08|07:02:00|IN
NAG.001895|2019-01-08|17:00:00|OUT
NAG.001925|2019-01-08|06:29:00|IN
NAG.001925|2019-01-08|16:57:00|OUT
NAG.001966|2019-01-08|07:09:00|IN
NAG.001966|2019-01-08|17:21:00|OUT
NAG.001973|2019-01-08|07:08:00|IN
NAG.001973|2019-01-08|17:01:00|OUT
NAG.001990|2019-01-08|06:51:00|IN
NAG.001990|2019-01-08|19:56:00|OUT
NAG.002001|2019-01-08|06:41:00|IN
NAG.002001|2019-01-08|17:05:00|OUT
NAG.002033|2019-01-08|07:06:00|IN
NAG.002033|2019-01-08|16:44:00|OUT
NAG.002136|2019-01-08|06:55:00|IN
NAG.002136|2019-01-08|16:31:00|OUT
NAG.002212|2019-01-08|06:37:00|IN
NAG.002212|2019-01-08|16:41:00|OUT
NAG.002216|2019-01-08|07:04:00|IN
NAG.002216|2019-01-08|17:00:00|OUT
NAG.002250|2019-01-08|07:00:00|IN
NAG.002250|2019-01-08|17:21:00|OUT
NAG.002413|2019-01-08|06:36:00|IN
NAG.002413|2019-01-08|16:31:00|OUT
NAG.000351|2019-01-08|07:03:00|IN
NAG.000351|2019-01-08|16:57:00|OUT
NAG.000399|2019-01-08|07:02:00|IN
NAG.000399|2019-01-08|19:59:00|OUT
NAG.000445|2019-01-08|06:58:00|IN
NAG.000445|2019-01-08|16:55:00|OUT
NAG.000492|2019-01-08|06:55:00|IN
NAG.000492|2019-01-08|16:57:00|OUT
NAG.000553|2019-01-08|07:05:00|IN
NAG.000553|2019-01-08|20:01:00|OUT
NAG.000610|2019-01-08|07:13:00|IN
NAG.000610|2019-01-08|16:56:00|OUT
NAG.000645|2019-01-08|07:17:00|IN
NAG.000645|2019-01-08|15:52:00|OUT
NAG.000677|2019-01-08|07:05:00|IN
NAG.000677|2019-01-08|16:55:00|OUT
NAG.000759|2019-01-08|06:40:00|IN
NAG.000759|2019-01-08|16:57:00|OUT
NAG.000817|2019-01-08|06:40:00|IN
NAG.000817|2019-01-08|20:27:00|OUT
NAG.000136|2019-01-08|07:02:00|IN
NAG.000136|2019-01-08|17:49:00|OUT
NAG.000960|2019-01-08|07:16:00|IN
NAG.000960|2019-01-08|16:22:00|OUT
