NIK|TANGGAL|JAM|STATUS
NAG.001135|2019-01-26|07:07:00|IN
NAG.001135|2019-01-26|12:39:00|OUT
NAG.001135|2019-01-28|07:19:00|IN
NAG.001135|2019-01-28|16:17:00|OUT
NAG.001135|2019-01-29|07:14:00|IN
NAG.001135|2019-01-29|20:03:00|OUT
NAG.001135|2019-01-29|20:05:00|OUT
NAG.001135|2019-02-01|06:56:00|IN
NAG.001219|2019-01-26|07:09:00|IN
NAG.001219|2019-01-26|12:44:00|OUT
NAG.001219|2019-01-28|07:15:00|IN
NAG.001219|2019-01-28|20:00:00|OUT
NAG.001219|2019-01-29|07:11:00|IN
NAG.001219|2019-01-29|19:59:00|OUT
NAG.001219|2019-01-30|07:11:00|IN
NAG.001219|2019-01-30|17:01:00|OUT
NAG.001219|2019-01-31|07:11:00|IN
NAG.001219|2019-01-31|17:29:00|OUT
NAG.001219|2019-02-01|06:55:00|IN
NAG.001309|2019-01-26|07:06:00|IN
NAG.001309|2019-01-26|12:33:00|OUT
NAG.001309|2019-01-28|07:11:00|IN
NAG.001309|2019-01-28|17:26:00|OUT
NAG.001309|2019-01-29|07:05:00|IN
NAG.001309|2019-01-29|16:54:00|OUT
NAG.001309|2019-01-30|07:03:00|IN
NAG.001309|2019-01-30|17:28:00|OUT
NAG.001309|2019-01-31|07:03:00|IN
NAG.001309|2019-01-31|17:31:00|OUT
NAG.001309|2019-02-01|06:56:00|IN
NAG.001319|2019-01-26|06:50:00|IN
NAG.001319|2019-01-26|12:30:00|OUT
NAG.001319|2019-01-28|07:00:00|IN
NAG.001319|2019-01-28|19:58:00|OUT
NAG.001319|2019-01-29|06:58:00|IN
NAG.001319|2019-01-29|17:28:00|OUT
NAG.001319|2019-01-30|06:53:00|IN
NAG.001319|2019-01-30|19:58:00|OUT
NAG.001319|2019-01-31|07:01:00|IN
NAG.001319|2019-01-31|19:57:00|OUT
NAG.001319|2019-02-01|06:53:00|IN
NAG.001433|2019-01-26|07:00:00|IN
NAG.001433|2019-01-26|12:42:00|OUT
NAG.001433|2019-01-28|07:02:00|IN
NAG.001433|2019-01-28|17:27:00|OUT
NAG.001433|2019-01-29|07:03:00|IN
NAG.001433|2019-01-29|17:44:00|OUT
