NIK|TANGGAL|JAM|STATUS
NAG.001219|2019-02-12|7:08:00 AM|IN
NAG.001219|2019-02-13|7:15:00 AM|IN
NAG.001309|2019-02-12|7:04:00 AM|IN
NAG.001309|2019-02-13|7:09:00 AM|IN
NAG.001319|2019-02-12|7:07:00 AM|IN
NAG.001319|2019-02-13|6:57:00 AM|IN
NAG.001433|2019-02-12|7:01:00 AM|IN
NAG.001433|2019-02-13|7:05:00 AM|IN
NAG.001509|2019-02-12|7:12:00 AM|IN
NAG.001509|2019-02-13|7:14:00 AM|IN
NAG.001576|2019-02-12|6:49:00 AM|IN
NAG.001576|2019-02-13|6:50:00 AM|IN
NAG.001614|2019-02-12|6:32:00 AM|IN
NAG.001614|2019-02-13|6:51:00 AM|IN
NAG.001700|2019-02-12|6:48:00 AM|IN
NAG.001700|2019-02-13|6:54:00 AM|IN
NAG.001764|2019-02-12|7:09:00 AM|IN
NAG.001764|2019-02-13|7:10:00 AM|IN
NAG.001778|2019-02-12|7:01:00 AM|IN
NAG.001778|2019-02-13|6:49:00 AM|IN
NAG.001808|2019-02-12|6:54:00 AM|IN
NAG.001808|2019-02-13|6:51:00 AM|IN
NAG.001895|2019-02-12|6:54:00 AM|IN
NAG.001895|2019-02-13|7:07:00 AM|IN
NAG.001925|2019-02-12|6:35:00 AM|IN
NAG.001925|2019-02-13|6:33:00 AM|IN
NAG.001966|2019-02-12|7:11:00 AM|IN
NAG.001966|2019-02-13|7:09:00 AM|IN
NAG.001973|2019-02-12|7:10:00 AM|IN
NAG.001973|2019-02-13|7:09:00 AM|IN
NAG.001990|2019-02-12|6:57:00 AM|IN
NAG.001990|2019-02-13|6:57:00 AM|IN
NAG.002001|2019-02-12|6:54:00 AM|IN
NAG.002001|2019-02-13|6:47:00 AM|IN
NAG.002033|2019-02-12|6:55:00 AM|IN
NAG.002033|2019-02-13|6:56:00 AM|IN
NAG.002136|2019-02-12|6:45:00 AM|IN
NAG.002212|2019-02-12|6:22:00 AM|OUT
NAG.002212|2019-02-13|6:19:00 AM|OUT
NAG.002216|2019-02-12|7:09:00 AM|IN
NAG.002216|2019-02-13|7:04:00 AM|IN
NAG.002250|2019-02-12|6:55:00 AM|IN
NAG.002250|2019-02-13|7:04:00 AM|IN
NAG.002413|2019-02-12|6:21:00 AM|IN
NAG.002413|2019-02-13|6:27:00 AM|IN
NAG.002537|2019-02-12|6:32:00 AM|IN
NAG.002537|2019-02-13|6:37:00 AM|IN
NAG.000351|2019-02-12|6:52:00 AM|IN
NAG.000351|2019-02-12|3:38:00 PM|OUT
NAG.000351|2019-02-13|6:54:00 AM|IN
NAG.000399|2019-02-12|7:09:00 AM|IN
NAG.000399|2019-02-13|7:07:00 AM|IN
NAG.000445|2019-02-12|6:55:00 AM|IN
NAG.000445|2019-02-13|7:03:00 AM|IN
NAG.000492|2019-02-12|6:52:00 AM|IN
NAG.000492|2019-02-13|7:03:00 AM|IN
NAG.000610|2019-02-12|7:11:00 AM|IN
NAG.000610|2019-02-13|7:11:00 AM|IN
NAG.000677|2019-02-12|7:12:00 AM|IN
NAG.000677|2019-02-13|7:03:00 AM|IN
NAG.000759|2019-02-12|6:42:00 AM|IN
NAG.000759|2019-02-13|6:40:00 AM|IN
NAG.000817|2019-02-12|6:41:00 AM|IN
NAG.000817|2019-02-13|6:45:00 AM|OUT
NAG.000817|2019-02-13|6:45:00 AM|IN
NAG.000136|2019-02-12|7:03:00 AM|IN
NAG.000136|2019-02-13|7:02:00 AM|IN
NAG.000960|2019-02-12|7:13:00 AM|IN
NAG.000960|2019-02-13|7:11:00 AM|IN
NAG.001175|2019-02-12|7:29:00 AM|IN
NAG.001175|2019-02-13|7:30:00 AM|IN
NAG.000240|2019-02-12|7:14:00 AM|IN
NAG.000240|2019-02-13|7:15:00 AM|IN
NAG.000298|2019-02-12|7:29:00 AM|IN
NAG.000298|2019-02-13|7:27:00 AM|IN
NAG.000489|2019-02-12|7:20:00 AM|IN
NAG.000489|2019-02-13|7:22:00 AM|IN
NAG.000523|2019-02-13|7:01:00 AM|IN
NAG.000562|2019-02-12|8:31:00 AM|IN
NAG.000562|2019-02-13|7:21:00 AM|IN
NAG.000962|2019-02-12|7:24:00 AM|IN
NAG.000962|2019-02-13|7:28:00 AM|IN
NAG.001087|2019-02-12|6:59:00 AM|IN
NAG.001087|2019-02-13|7:03:00 AM|IN
NAG.001148|2019-02-12|7:02:00 AM|IN
NAG.001148|2019-02-13|7:05:00 AM|IN
NAG.001151|2019-02-12|7:13:00 AM|IN
NAG.001151|2019-02-13|7:08:00 AM|IN
NAG.000153|2019-02-12|6:59:00 AM|IN
NAG.000153|2019-02-13|6:58:00 AM|IN
NAG.001152|2019-02-12|7:02:00 AM|IN
NAG.001152|2019-02-13|7:05:00 AM|IN
NAG.001154|2019-02-12|7:10:00 AM|IN
NAG.001154|2019-02-13|7:13:00 AM|IN
NAG.000154|2019-02-12|7:15:00 AM|IN
NAG.000154|2019-02-13|7:13:00 AM|IN
NAG.001195|2019-02-12|7:02:00 AM|IN
NAG.001195|2019-02-13|7:09:00 AM|IN
NAG.001501|2019-02-12|7:15:00 AM|IN
NAG.001501|2019-02-12|7:15:00 AM|IN
NAG.001501|2019-02-13|7:15:00 AM|IN
NAG.001516|2019-02-12|7:10:00 AM|IN
NAG.001516|2019-02-13|7:04:00 AM|IN
NAG.001524|2019-02-12|7:02:00 AM|IN
NAG.001524|2019-02-13|7:05:00 AM|IN
NAG.001530|2019-02-12|6:57:00 AM|IN
NAG.001530|2019-02-13|6:53:00 AM|IN
NAG.001536|2019-02-12|7:02:00 AM|IN
NAG.001536|2019-02-13|7:04:00 AM|IN
NAG.000192|2019-02-12|7:01:00 AM|IN
NAG.000192|2019-02-13|7:07:00 AM|IN
NAG.001598|2019-02-12|6:48:00 AM|IN
NAG.001598|2019-02-13|6:52:00 AM|IN
NAG.001599|2019-02-12|6:47:00 AM|IN
NAG.001599|2019-02-13|6:43:00 AM|OUT
NAG.001632|2019-02-12|6:57:00 AM|IN
NAG.001632|2019-02-13|6:49:00 AM|IN
NAG.001644|2019-02-12|7:01:00 AM|IN
NAG.001644|2019-02-13|7:07:00 AM|IN
NAG.001659|2019-02-12|7:12:00 AM|IN
NAG.001659|2019-02-13|7:14:00 AM|IN
NAG.001688|2019-02-12|7:12:00 AM|IN
NAG.001688|2019-02-13|7:10:00 AM|IN
NAG.001689|2019-02-12|7:03:00 AM|IN
NAG.001689|2019-02-13|7:09:00 AM|IN
NAG.001693|2019-02-12|7:06:00 AM|IN
NAG.001693|2019-02-12|7:06:00 AM|IN
NAG.001693|2019-02-13|7:02:00 AM|IN
NAG.001728|2019-02-12|6:44:00 AM|IN
NAG.001728|2019-02-13|6:49:00 AM|IN
NAG.001760|2019-02-12|6:44:00 AM|IN
NAG.001760|2019-02-13|6:39:00 AM|IN
NAG.001762|2019-02-12|7:01:00 AM|IN
NAG.001762|2019-02-13|7:05:00 AM|IN
NAG.001781|2019-02-12|6:56:00 AM|IN
NAG.001781|2019-02-13|6:59:00 AM|IN
NAG.001807|2019-02-12|7:13:00 AM|IN
NAG.001807|2019-02-13|7:14:00 AM|IN
NAG.001834|2019-02-12|7:01:00 AM|IN
NAG.001834|2019-02-13|7:04:00 AM|IN
