NIK|TANGGAL|JAM|STATUS
NAG.001645|2019-02-05|06:54:00|IN
NAG.001645|2019-02-05|16:36:00|OUT
NAG.001645|2019-02-06|07:09:00|IN
NAG.001645|2019-02-06|17:27:00|OUT
NAG.001645|2019-02-07|06:55:00|IN
NAG.001645|2019-02-07|17:34:00|OUT
NAG.001645|2019-02-08|06:48:00|IN
NAG.001645|2019-02-08|19:59:00|OUT
NAG.001645|2019-02-09|06:54:00|IN
NAG.001645|2019-02-09|12:34:00|OUT
NAG.001645|2019-02-11|06:54:00|IN
NAG.001645|2019-02-11|17:41:00|OUT
NAG.001645|2019-02-12|06:44:00|IN
NAG.001645|2019-02-13|06:59:00|IN
NAG.001645|2019-02-13|17:34:00|OUT
NAG.001645|2019-02-14|06:54:00|IN
NAG.001650|2019-01-26|06:34:00|IN
NAG.001650|2019-01-26|12:44:00|OUT
NAG.001650|2019-01-28|06:43:00|IN
NAG.001650|2019-01-28|17:35:00|OUT
NAG.001650|2019-01-29|06:41:00|IN
NAG.001650|2019-01-29|17:35:00|OUT
NAG.001650|2019-01-30|06:36:00|IN
NAG.001650|2019-01-30|17:23:00|OUT
NAG.001650|2019-01-31|06:44:00|IN
NAG.001650|2019-01-31|06:44:00|IN
NAG.001650|2019-01-31|17:34:00|OUT
NAG.001650|2019-02-01|06:36:00|IN
NAG.001650|2019-02-01|17:34:00|OUT
NAG.001650|2019-02-02|06:41:00|IN
NAG.001650|2019-02-02|12:40:00|OUT
NAG.001650|2019-02-04|06:47:00|IN
NAG.001650|2019-02-04|17:28:00|OUT
NAG.001650|2019-02-05|06:34:00|IN
NAG.001650|2019-02-05|17:10:00|OUT
NAG.001650|2019-02-06|06:41:00|IN
NAG.001650|2019-02-06|17:51:00|OUT
NAG.001650|2019-02-07|06:43:00|IN
NAG.001650|2019-02-07|17:42:00|OUT
NAG.001650|2019-02-08|06:39:00|OUT
NAG.001650|2019-02-08|20:08:00|OUT
NAG.001650|2019-02-09|06:42:00|IN
NAG.001650|2019-02-09|13:04:00|OUT
NAG.001650|2019-02-11|06:41:00|IN
NAG.001650|2019-02-11|17:37:00|OUT
NAG.001650|2019-02-12|06:37:00|IN
NAG.001650|2019-02-13|06:40:00|IN
NAG.001650|2019-02-13|17:34:00|OUT
NAG.001650|2019-02-14|06:42:00|IN
NAG.001677|2019-01-26|06:48:00|IN
NAG.001677|2019-01-26|12:47:00|OUT
NAG.001677|2019-01-30|06:52:00|IN
NAG.001677|2019-01-30|20:05:00|OUT
NAG.001677|2019-01-31|06:59:00|IN
NAG.001677|2019-01-31|20:05:00|OUT
NAG.001677|2019-02-01|06:46:00|IN
NAG.001677|2019-02-01|20:05:00|OUT
NAG.001677|2019-02-02|06:49:00|IN
NAG.001677|2019-02-02|12:43:00|OUT
NAG.001677|2019-02-04|06:52:00|IN
NAG.001677|2019-02-04|18:01:00|OUT
NAG.001677|2019-02-05|06:50:00|IN
NAG.001677|2019-02-05|15:34:00|OUT
NAG.001677|2019-02-06|07:14:00|IN
NAG.001677|2019-02-06|15:56:00|OUT
NAG.001677|2019-02-06|15:59:00|OUT
NAG.001677|2019-02-07|06:54:00|IN
NAG.001677|2019-02-07|17:27:00|OUT
NAG.001677|2019-02-08|06:48:00|IN
NAG.001677|2019-02-08|16:39:00|OUT
NAG.001677|2019-02-09|06:48:00|IN
NAG.001677|2019-02-09|12:37:00|OUT
NAG.001677|2019-02-11|06:55:00|IN
NAG.001677|2019-02-11|15:54:00|OUT
NAG.001677|2019-02-12|06:56:00|IN
NAG.001677|2019-02-12|15:39:00|OUT
