NIK|TANGGAL|JAM|STATUS
NAG.001894|2019-02-09|06:57:00|IN
NAG.001894|2019-02-09|12:30:00|OUT
NAG.001894|2019-02-11|06:56:00|IN
NAG.001894|2019-02-11|16:59:00|OUT
NAG.001894|2019-02-12|06:58:00|IN
NAG.001894|2019-02-15|06:54:00|IN
NAG.001894|2019-02-15|16:50:00|OUT
NAG.001894|2019-02-16|06:56:00|IN
NAG.001894|2019-02-16|12:29:00|OUT
NAG.001894|2019-02-18|07:08:00|IN
NAG.001894|2019-02-18|17:04:00|OUT
NAG.001894|2019-02-19|07:00:00|IN
NAG.001894|2019-02-19|17:06:00|OUT
NAG.001894|2019-02-20|07:00:00|IN
NAG.001894|2019-02-20|17:09:00|OUT
NAG.001894|2019-02-21|07:06:00|IN
NAG.001894|2019-02-21|17:04:00|OUT
NAG.001894|2019-02-22|06:49:00|IN
NAG.001894|2019-02-22|17:02:00|OUT
NAG.001894|2019-02-23|06:58:00|IN
NAG.001894|2019-02-23|12:29:00|OUT
NAG.001894|2019-02-25|13:54:00|IN
NAG.001894|2019-02-25|22:00:00|OUT
NAG.001964|2019-01-26|07:09:00|IN
NAG.001964|2019-01-26|12:31:00|OUT
NAG.001964|2019-01-28|07:14:00|IN
NAG.001964|2019-01-28|16:57:00|OUT
NAG.001964|2019-01-29|07:08:00|IN
NAG.001964|2019-01-29|16:36:00|OUT
NAG.001964|2019-01-30|07:06:00|IN
NAG.001964|2019-01-30|16:40:00|OUT
NAG.001964|2019-01-31|07:10:00|IN
NAG.001964|2019-01-31|16:36:00|OUT
NAG.001964|2019-02-01|06:53:00|IN
NAG.001964|2019-02-01|17:02:00|OUT
NAG.001964|2019-02-02|07:08:00|IN
NAG.001964|2019-02-02|12:31:00|OUT
NAG.001964|2019-02-02|12:31:00|OUT
NAG.001964|2019-02-04|07:09:00|IN
NAG.001964|2019-02-04|19:59:00|OUT
NAG.001964|2019-02-05|07:06:00|IN
NAG.001964|2019-02-05|15:29:00|OUT
NAG.001964|2019-02-06|07:23:00|IN
NAG.001964|2019-02-06|16:51:00|OUT
NAG.001964|2019-02-07|07:02:00|IN
NAG.001964|2019-02-07|16:57:00|OUT
NAG.001964|2019-02-08|06:53:00|IN
NAG.001964|2019-02-08|16:57:00|OUT
NAG.001964|2019-02-09|07:05:00|IN
NAG.001964|2019-02-09|12:31:00|OUT
NAG.001964|2019-02-11|07:05:00|IN
NAG.001964|2019-02-11|16:56:00|OUT
NAG.001964|2019-02-12|07:09:00|IN
NAG.001964|2019-02-13|07:04:00|IN
NAG.001964|2019-02-13|16:47:00|OUT
NAG.001964|2019-02-14|07:03:00|IN
NAG.001964|2019-02-14|16:51:00|OUT
NAG.001964|2019-02-15|06:55:00|IN
NAG.001964|2019-02-15|20:00:00|OUT
NAG.001964|2019-02-16|07:07:00|IN
NAG.001964|2019-02-16|12:31:00|OUT
NAG.001964|2019-02-18|07:21:00|IN
NAG.001964|2019-02-18|16:52:00|OUT
NAG.001964|2019-02-19|07:06:00|IN
NAG.001964|2019-02-19|16:47:00|OUT
NAG.001964|2019-02-20|07:10:00|IN
NAG.001964|2019-02-20|17:00:00|OUT
NAG.001964|2019-02-21|07:18:00|IN
NAG.001964|2019-02-21|17:01:00|OUT
NAG.001964|2019-02-22|06:52:00|IN
NAG.001964|2019-02-22|16:57:00|OUT
NAG.001964|2019-02-25|07:11:00|IN
NAG.001964|2019-02-25|17:01:00|OUT
NAG.001982|2019-01-26|07:03:00|IN
NAG.001982|2019-01-26|12:21:00|OUT
NAG.001982|2019-01-28|07:05:00|IN
NAG.001982|2019-01-28|15:56:00|OUT
NAG.001982|2019-01-29|07:02:00|IN
NAG.001982|2019-01-29|15:55:00|IN
NAG.001982|2019-01-30|06:57:00|IN
NAG.001982|2019-01-30|15:55:00|OUT
NAG.001982|2019-01-31|07:01:00|IN
NAG.001982|2019-01-31|15:54:00|OUT
NAG.001982|2019-02-01|06:57:00|IN
NAG.001982|2019-02-01|16:00:00|OUT
NAG.001982|2019-02-02|07:05:00|IN
NAG.001982|2019-02-02|12:18:00|IN
NAG.001982|2019-02-04|07:02:00|IN
NAG.001982|2019-02-04|16:03:00|OUT
NAG.001982|2019-02-05|07:06:00|IN
NAG.001982|2019-02-05|15:41:00|OUT
NAG.001982|2019-02-06|07:03:00|IN
NAG.001982|2019-02-06|16:20:00|OUT
NAG.001982|2019-02-07|07:03:00|IN
NAG.001982|2019-02-07|16:02:00|OUT
NAG.001982|2019-02-08|06:59:00|IN
NAG.001982|2019-02-08|16:40:00|OUT
NAG.001982|2019-02-09|06:55:00|IN
NAG.001982|2019-02-09|12:19:00|OUT
NAG.001982|2019-02-11|07:04:00|IN
