NIK|TANGGAL|JAM|STATUS
NAG.001691|2019-02-22|06:53:00|IN
NAG.001691|2019-02-23|07:04:00|OUT
NAG.001691|2019-02-25|07:16:00|IN
NAG.001691|2019-02-25|16:37:00|OUT
NAG.001730|2019-01-26|07:12:00|IN
NAG.001730|2019-01-26|14:42:00|OUT
NAG.001730|2019-01-28|07:16:00|IN
NAG.001730|2019-01-28|20:00:00|OUT
NAG.001730|2019-01-29|07:04:00|IN
NAG.001730|2019-01-29|20:00:00|OUT
NAG.001730|2019-01-30|07:06:00|IN
NAG.001730|2019-01-30|19:59:00|OUT
NAG.001730|2019-01-31|07:08:00|IN
NAG.001730|2019-01-31|20:00:00|OUT
NAG.001730|2019-02-01|06:48:00|IN
NAG.001730|2019-02-01|21:26:00|OUT
NAG.001730|2019-02-02|07:09:00|IN
NAG.001730|2019-02-02|21:58:00|OUT
NAG.001730|2019-02-02|21:58:00|OUT
NAG.001730|2019-02-04|07:09:00|IN
NAG.001730|2019-02-04|17:23:00|OUT
NAG.001730|2019-02-06|07:16:00|IN
NAG.001730|2019-02-06|16:55:00|OUT
NAG.001730|2019-02-07|07:07:00|IN
NAG.001730|2019-02-07|19:59:00|OUT
NAG.001730|2019-02-08|06:48:00|IN
NAG.001730|2019-02-08|06:48:00|IN
NAG.001730|2019-02-09|03:35:00|OUT
NAG.001730|2019-02-09|08:43:00|IN
NAG.001730|2019-02-09|22:28:00|OUT
NAG.001730|2019-02-11|07:10:00|IN
NAG.001730|2019-02-11|16:56:00|OUT
NAG.001730|2019-02-11|16:56:00|OUT
NAG.001730|2019-02-12|07:05:00|IN
NAG.001730|2019-02-12|17:54:00|IN
NAG.001730|2019-02-12|17:54:00|IN
NAG.001730|2019-02-12|17:54:00|OUT
NAG.001730|2019-02-12|17:54:00|OUT
NAG.001730|2019-02-13|07:09:00|IN
NAG.001730|2019-02-13|16:53:00|OUT
NAG.001730|2019-02-13|16:53:00|OUT
NAG.001730|2019-02-14|07:05:00|IN
NAG.001730|2019-02-14|20:04:00|OUT
NAG.001730|2019-02-14|20:04:00|OUT
NAG.001730|2019-02-15|06:52:00|IN
NAG.001730|2019-02-16|01:02:00|OUT
NAG.001730|2019-02-16|08:01:00|IN
NAG.001730|2019-02-16|23:03:00|OUT
NAG.001730|2019-02-16|23:03:00|OUT
NAG.001730|2019-02-16|23:06:00|OUT
NAG.001730|2019-02-18|07:18:00|IN
NAG.001730|2019-02-18|16:53:00|OUT
NAG.001730|2019-02-19|07:06:00|IN
NAG.001730|2019-02-19|16:54:00|OUT
NAG.001730|2019-02-20|07:10:00|IN
NAG.001730|2019-02-20|19:57:00|OUT
NAG.001730|2019-02-21|07:13:00|IN
NAG.001730|2019-02-21|19:59:00|OUT
NAG.001730|2019-02-22|06:50:00|IN
NAG.001730|2019-02-23|02:59:00|OUT
NAG.001730|2019-02-23|03:00:00|OUT
NAG.001730|2019-02-23|08:52:00|IN
NAG.001730|2019-02-23|12:30:00|OUT
NAG.001730|2019-02-25|07:09:00|IN
NAG.001730|2019-02-25|17:01:00|OUT
NAG.001881|2019-01-26|07:16:00|IN
NAG.001881|2019-01-26|18:51:00|OUT
NAG.001881|2019-01-28|07:43:00|IN
NAG.001881|2019-01-28|19:59:00|OUT
NAG.001881|2019-01-29|08:25:00|IN
NAG.001881|2019-01-29|19:58:00|OUT
NAG.001881|2019-01-30|08:02:00|IN
NAG.001881|2019-01-30|19:59:00|OUT
NAG.001881|2019-02-01|07:35:00|IN
NAG.001881|2019-02-01|21:29:00|OUT
NAG.001881|2019-02-02|07:15:00|IN
NAG.001881|2019-02-02|12:30:00|OUT
NAG.001881|2019-02-04|07:18:00|IN
NAG.001881|2019-02-04|16:53:00|OUT
NAG.001881|2019-02-06|07:33:00|IN
NAG.001881|2019-02-06|16:46:00|OUT
NAG.001881|2019-02-07|07:16:00|IN
NAG.001881|2019-02-07|19:58:00|OUT
NAG.001881|2019-02-08|07:32:00|IN
NAG.001881|2019-02-09|03:33:00|OUT
NAG.001881|2019-02-09|09:11:00|IN
NAG.001881|2019-02-09|12:29:00|OUT
NAG.001881|2019-02-11|07:20:00|IN
NAG.001881|2019-02-11|23:32:00|OUT
