URAIAN_DOKUMEN|NOMOR_AJU|TANGGAL_AJU|NOMOR_DAFTAR|TANGGAL_DAFTAR|SUPPLIER|KODE_BARANG|URAIAN|KODE_SATUAN|JUMLAH_SATUAN|HARGA_SATUAN|HARGA_PENYERAHAN|MATTYPE|TUJUAN|KODE_VALUTA|PONO|INVNO|BERAT_BERSIH|BERAT_KOTOR
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BLK|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BLACK|CONES|55|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN20/3OLE|ACCESORIES SEWING SEWING THREAD SPUN 20/3 OLIVINE|CONES|13|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN100PLY40/2SKY|ACCESORIES SEWING SEWING THREAD SPUN 100% POLYESTER 40/2 SKY MJM569|CONES|12|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN100PLY40/2PRL|ACCESORIES SEWING SEWING THREAD SPUN 100% POLYESTER 40/2 PURPLE MJM319|CONES|6|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN100PLY40/2ECU|ACCESORIES SEWING SEWING THREAD SPUN 100% POLYESTER 40/2 ECRU MJM105|CONES|153|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BLL|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BLUE BELL|CONES|6|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN70/2BLL|ACCESORIES SEWING SEWING THREAD SPUN 70/2 BLUE BELL|KILOGRAM|2|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2PCB|ACCESORIES SEWING SEWING THREAD SPUN 40/2 PEACH BLOSSOM|CONES|8|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2RRD|ACCESORIES SEWING SEWING THREAD SPUN 40/2 RETRO RED|CONES|68|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2ECL|ACCESORIES SEWING SEWING THREAD SPUN 40/2 ECLIPSE|CONES|38|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN100PLY40/2NVY|ACCESORIES SEWING SEWING THREAD SPUN 100% POLYESTER 40/2 NAVY|CONES|30|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2YBN|ACCESORIES SEWING SEWING THREAD SPUN 40/2 YELLOW BIKINI|CONES|480|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN100PLY40/2RYL|ACCESORIES SEWING SEWING THREAD SPUN 100% POLYESTER 40/2 ROYAL|CONES|6|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BRO|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BROWN|CONES|60|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN70/2WHT|ACCESORIES SEWING SEWING THREAD SPUN 70/2 WHITE|KILOGRAM|14|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BLU|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BLUE|CONES|3|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2HGY|ACCESORIES SEWING SEWING THREAD SPUN 40/2 HEATHER GREY|CONES|51|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2DCL|ACCESORIES SEWING SEWING THREAD SPUN 40/2 DARK CHARCOAL|CONES|505|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BLK|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BLACK|CONES|7|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2PCH|ACCESORIES SEWING SEWING THREAD SPUN 40/2 PEACH|CONES|14|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BLK|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BLACK|CONES|24|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN70/2BLK|ACCESORIES SEWING SEWING THREAD SPUN 70/2 BLACK|KILOGRAM|16|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN70/2WHT|ACCESORIES SEWING SEWING THREAD SPUN 70/2 WHITE|KILOGRAM|31|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN100PLY40/2YLW|ACCESORIES SEWING SEWING THREAD SPUN 100% POLYESTER 40/2 YELLOW|CONES|60|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN100PLY40/2NVY|ACCESORIES SEWING SEWING THREAD SPUN 100% POLYESTER 40/2 NAVY MJM8082003B|CONES|141|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN100PLY40/2NVY|ACCESORIES SEWING SEWING THREAD SPUN 100% POLYESTER 40/2 NAVY|CONES|3|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2ORG|ACCESORIES SEWING SEWING THREAD SPUN 40/2 ORANGE|CONES|6|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTPLYT150DNVY|ACCESORIES SEWING SEWING THREAD POLYESTER T150D NAVY|KILOGRAM|6|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTNYL100DWHT|ACCESORIES SEWING SEWING THREAD NYLON 100D WHITE|KILOGRAM|11|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN100PLY40/2PNK|ACCESORIES SEWING SEWING THREAD SPUN 100% POLYESTER 40/2 PINK|CONES|85|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2SHP|ACCESORIES SEWING SEWING THREAD SPUN 40/2 SHOCKING PINK|CONES|146|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTPLY40/2BLK|ACCESORIES SEWING SEWING THREAD POLYESTER 40/2 BLACK LKM 500|CONES|326|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2WHT|ACCESORIES SEWING SEWING THREAD SPUN 40/2 WHITE|CONES|4|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2RED|ACCESORIES SEWING SEWING THREAD SPUN 40/2 RED|CONES|282|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2GRY|ACCESORIES SEWING SEWING THREAD SPUN 40/2 GREY|CONES|382|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BLU|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BLUE|CONES|10|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2TRQ|ACCESORIES SEWING SEWING THREAD SPUN 40/2 TURQUISE|CONES|110|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTPLYT150DNVY|ACCESORIES SEWING SEWING THREAD POLYESTER T150D NAVY|KILOGRAM|3|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2AQV|ACCESORIES SEWING SEWING THREAD SPUN 40/2 AQUA VERDE|CONES|1845|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2TRB|ACCESORIES SEWING SEWING THREAD SPUN 40/2 TROPICAL BLOSSOM|CONES|2428|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2AQH|ACCESORIES SEWING SEWING THREAD SPUN 40/2 AQUA HAZE|CONES|1342|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2ROD|ACCESORIES SEWING SEWING THREAD SPUN 40/2 ROSE DUST|CONES|89|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2VIB|ACCESORIES SEWING SEWING THREAD SPUN 40/2 VIOLET BLOOM|CONES|295|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN60/3HGY|ACCESORIES SEWING SEWING THREAD SPUN 60/3 HEATHER GREY|CONES|107|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2GRM|ACCESORIES SEWING SEWING THREAD SPUN 40/2 GREY MELANGE|CONES|38|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2GRM|ACCESORIES SEWING SEWING THREAD SPUN 40/2 GREY MELANGE|KILOGRAM|11|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2CBN|ACCESORIES SEWING SEWING THREAD SPUN 40/2 CARBON|CONES|76|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2WHT|ACCESORIES SEWING SEWING THREAD SPUN 40/2 WHITE|CONES|98|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTPLY40/2BLK|ACCESORIES SEWING SEWING THREAD POLYESTER 40/2 BLACK LKM 500|CONES|65|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN100PLY40/2DKO|ACCESORIES SEWING SEWING THREAD SPUN 100% POLYESTER 40/2 DARK BOTTLE|CONES|84|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2LHG|ACCESORIES SEWING SEWING THREAD SPUN 40/2 LIGHT HEATHER GREY|CONES|1203|0|0|A|||||0|0
IN|IN-43801-SO|2019-12-02||2019-12-02|STOCK OPNAME|ASSWTSPN40/2BLK|ACCESORIES SEWING SEWING THREAD SPUN 40/2 BLACK|CONES|618|0|0|A|||||0|0
